22037,shroud,Cloud9,freakazoid,Cloud9,seangares,Cloud9,reltuC,CLG,Skadoodle,Cloud9,n0thing,Cloud9,tarik,CLG,sancz,CLG,jdm64,CLG,hazed,CLG
22105,tarik,CLG,Xp3,eLevate,jdm64,CLG,FNS,CLG,reltuC,CLG,NAF-FLY,eLevate,hazed,CLG,RUSH,eLevate,daps,eLevate,aKis,eLevate
22109,jdm64,CLG,tarik,CLG,hazed,CLG,anger,Mythic,FNS,CLG,reltuC,CLG,ptr,Mythic,pyth,Mythic,LeX,Mythic,Devilwalk,Mythic
22141,tarik,CLG,reltuC,CLG,adreN,Liquid,jdm64,CLG,hazed,CLG,FNS,CLG,EliGE,Liquid,nitr0,Liquid,FugLy,Liquid,flowsicK,Liquid
22142,hazed,CLG,EliGE,Liquid,tarik,CLG,FNS,CLG,nitr0,Liquid,FugLy,Liquid,jdm64,CLG,flowsicK,Liquid,adreN,Liquid,reltuC,CLG
22147,jdm64,CLG,NiKo,SK,tarik,CLG,SandeN,SK,AcilioN,SK,FNS,CLG,BERRY,SK,reltuC,CLG,cadiaN,SK,hazed,CLG
22150,device,TSM,tarik,CLG,Xyp9x,TSM,cajunb,TSM,karrigan,TSM,dupreeh,TSM,jdm64,CLG,FNS,CLG,reltuC,CLG,hazed,CLG
22152,Happy,EnVyUs,jdm64,CLG,reltuC,CLG,NBK-,EnVyUs,kioShiMa,EnVyUs,FNS,CLG,tarik,CLG,hazed,CLG,kennyS,EnVyUs,apEX,EnVyUs
22157,device,TSM,karrigan,TSM,cajunb,TSM,Xyp9x,TSM,tarik,CLG,dupreeh,TSM,FNS,CLG,jdm64,CLG,hazed,CLG,reltuC,CLG
22238,f0rest,NiP,allu,NiP,Xizt,NiP,tarik,CLG,friberg,NiP,reltuC,CLG,GeT_RiGhT,NiP,FNS,CLG,jdm64,CLG,hazed,CLG
22256,peet,eBettle,Hyper,eBettle,hazed,CLG,tarik,CLG,GruBy,eBettle,jdm64,CLG,FNS,CLG,rallen,eBettle,reltuC,CLG,Furlan,eBettle
22257,jdm64,CLG,tarik,CLG,flamie,Natus Vincere,Edward,Natus Vincere,Zeus,Natus Vincere,seized,Natus Vincere,GuardiaN,Natus Vincere,FNS,CLG,hazed,CLG,reltuC,CLG
22430,nitr0,Liquid,desi,Liquid,tarik,CLG,FNS,CLG,FugLy,Liquid,adreN,Liquid,jdm64,CLG,reltuC,CLG,EliGE,Liquid,hazed,CLG
22431,hazed,CLG,tarik,CLG,EliGE,Liquid,jdm64,CLG,reltuC,CLG,FugLy,Liquid,desi,Liquid,nitr0,Liquid,FNS,CLG,adreN,Liquid
22432,EliGE,Liquid,FugLy,Liquid,jdm64,CLG,tarik,CLG,reltuC,CLG,FNS,CLG,adreN,Liquid,hazed,CLG,nitr0,Liquid,desi,Liquid
22782,hazed,CLG,jdm64,CLG,tarik,CLG,FNS,CLG,sancz,compLexity,reltuC,CLG,autimatic,compLexity,roca,compLexity,valens,compLexity,SEMPHIS,compLexity
22783,SEMPHIS,compLexity,valens,compLexity,jdm64,CLG,autimatic,compLexity,FNS,CLG,sancz,compLexity,hazed,CLG,tarik,CLG,reltuC,CLG,roca,compLexity
22784,RUSH,Conquest,ryx,Conquest,ShahZaM,Conquest,reltuC,CLG,NAF-FLY,Conquest,jdm64,CLG,tarik,CLG,hazed,CLG,FNS,CLG,daps,Conquest
22785,jdm64,CLG,FNS,CLG,tarik,CLG,ryx,Conquest,NAF-FLY,Conquest,ShahZaM,Conquest,hazed,CLG,reltuC,CLG,RUSH,Conquest,daps,Conquest
22835,hazed,CLG,draek,Coast,tarik,CLG,DUM0RE,Coast,jdm64,CLG,inVert,Coast,draWsouL,Coast,reltuC,CLG,stanislaw,Coast,FNS,CLG
22836,hazed,CLG,FNS,CLG,jdm64,CLG,reltuC,CLG,draWsouL,Coast,draek,Coast,DUM0RE,Coast,tarik,CLG,stanislaw,Coast,inVert,Coast
22992,hazed,CLG,reltuC,CLG,FNS,CLG,tarik,CLG,jdm64,CLG,spyro,BitterSweetGG,StealthyMike,BitterSweetGG,syN,BitterSweetGG,ironmaN,BitterSweetGG,DeKa,BitterSweetGG
22994,tarik,CLG,jdm64,CLG,FNS,CLG,hazed,CLG,reltuC,CLG,n0swal,ACE,saV,ACE,PEX,ACE,feNeK,ACE,fruit,ACE
23033,tarik,CLG,hazed,CLG,jdm64,CLG,reltuC,CLG,FNS,CLG,Uber,Enemy,koosta,Enemy,Relyks,Enemy,MAiNLiNE,Enemy,Anomaly,Enemy
23034,tarik,CLG,reltuC,CLG,hazed,CLG,FNS,CLG,jdm64,CLG,Anomaly,Enemy,Relyks,Enemy,koosta,Enemy,Uber,Enemy,MAiNLiNE,Enemy
23044,tarik,CLG,FNS,CLG,reltuC,CLG,jdm64,CLG,hazed,CLG,SHOOWTiME,Games Academy,fnx,Games Academy,TACO,Games Academy,lucas,Games Academy,hen1,Games Academy
23045,tarik,CLG,hazed,CLG,FNS,CLG,jdm64,CLG,reltuC,CLG,TACO,Games Academy,SHOOWTiME,Games Academy,hen1,Games Academy,fnx,Games Academy,lucas,Games Academy
