MatchID, Map,TeamA,TeamB,TeamAWins, TeamARounds, TeamBRounds, A1_frags, A1_assists, A1_deaths, A2_frags, A2_assists, A2_deaths, A3_frags, A3_assists, A3_deaths, A4_frags, A4_assists, A4_deaths, A5_frags, A5_assists, A5_deaths, B1_frags, B1_assists, B1_deaths, B2_frags, B2_assists, B2_deaths, B3_frags, B3_assists, B3_deaths, B4_frags, B4_assists, B4_deaths, B5_frags, B5_assists, B5_deaths
19130,cache,EnVyUs,Virtus.pro,0,3,16,14,2,17,13,5,16,9,2,18,9,1,19,5,2,17,24,2,9,19,2,7,16,6,10,15,4,12,13,3,12
19131,cache,The Flying V,Fenix Fire,1,16,10,24,4,18,23,5,16,15,2,14,15,10,17,17,6,19,19,2,18,21,4,19,18,5,20,15,2,17,11,7,20
19132,mirage,Fenix Fire,The Flying V,0,7,16,14,2,18,12,1,15,15,6,20,16,4,20,9,1,20,23,3,12,24,7,15,17,4,12,16,4,12,13,4,15
19133,cache,NiP,fnatic,0,12,16,20,2,20,19,5,20,20,5,19,15,1,22,8,7,21,26,3,17,21,7,16,20,3,14,20,4,17,15,4,18
19136,mirage,NiP,Virtus.pro,0,9,16,25,2,19,16,5,19,16,2,21,13,5,19,11,3,20,21,3,13,22,3,15,18,6,18,19,3,18,17,6,17
19137,cache,Virtus.pro,NiP,0,9,16,25,2,17,18,2,19,15,5,20,12,6,18,12,10,19,31,4,18,19,2,16,19,2,18,16,6,16,8,3,14
19139,nuke,Virtus.pro,fnatic,0,14,16,25,4,19,23,6,18,20,5,22,23,5,23,19,3,19,26,6,21,20,9,23,17,4,19,21,4,23,17,2,24
19140,cache,Virtus.pro,fnatic,0,9,16,21,3,21,16,1,22,12,1,20,15,6,22,7,2,18,23,1,14,21,7,15,22,4,14,20,4,15,17,6,13
19142,inferno,fnatic,TSM,1,16,9,23,3,15,19,8,14,16,5,13,21,5,14,16,2,13,18,3,19,16,5,18,11,0,18,12,0,19,12,4,22
19143,dust2,Titan,NiP,0,10,16,23,2,21,15,5,19,13,2,19,14,2,19,10,0,18,23,1,13,23,4,16,17,4,14,19,4,18,14,5,14
19144,mirage,Natus Vincere,LGB,1,16,11,20,5,12,20,5,18,20,5,17,18,2,16,17,5,18,23,5,17,19,4,19,14,4,20,14,3,19,9,2,20
19145,cache,eNergy,Damage Control,0,12,16,36,3,20,16,3,19,16,6,21,18,4,22,12,2,23,26,6,18,27,5,19,20,5,17,18,5,21,13,3,23
19146,inferno,eNergy,Damage Control,1,16,13,24,1,15,21,1,21,17,7,17,21,4,20,15,6,24,27,4,18,19,6,20,18,8,18,20,1,21,13,4,21
19150,inferno,Liquid,eLevate,1,16,9,22,7,14,22,5,17,20,5,17,17,2,15,19,5,20,22,6,18,15,2,19,18,2,22,15,2,20,13,6,21
19151,dust2,CLG,SKDC,0,14,16,27,3,21,23,3,19,20,3,23,14,4,19,13,3,25,24,5,20,23,2,19,22,2,19,21,4,21,17,8,18
19152,mirage,Virtus.pro,TSM,1,16,13,24,7,16,28,2,18,25,7,20,22,4,16,14,6,17,19,2,22,19,3,21,17,4,20,16,3,25,16,7,25
19154,nuke,NiP,Virtus.pro,1,16,6,25,4,14,21,3,12,17,7,10,15,8,13,12,4,12,14,3,17,16,0,19,13,0,18,11,4,19,7,5,17
19157,mirage,CLG,Liquid,0,12,16,18,3,20,19,6,23,16,3,22,14,3,20,15,4,23,26,3,17,25,7,17,19,4,15,18,1,14,20,4,19
19164,dust2,Streamline,Vox Eminor,0,3,16,10,1,16,8,2,16,8,4,18,9,0,17,10,3,19,21,3,5,19,7,9,17,3,10,14,5,10,15,6,11
19168,dust2,EnVyUs,LGB,1,16,7,23,0,9,21,3,13,17,6,14,14,3,15,18,7,17,15,4,19,15,3,20,12,2,17,15,5,21,11,1,16
19171,cache,fnatic,LGB,1,16,4,26,3,8,23,4,8,18,4,13,14,7,7,7,3,11,11,1,17,11,1,18,9,2,18,8,2,18,8,0,17
19172,mirage,EnVyUs,NiP,1,16,11,23,5,18,24,3,17,21,2,15,19,1,18,18,2,21,23,3,21,22,3,24,18,7,22,17,3,20,9,3,18
19177,inferno,Bravado,Eternal Conflict,1,16,12,20,5,19,24,3,18,20,6,17,21,2,22,15,6,19,24,7,20,25,1,18,19,6,21,15,3,20,12,7,23
19180,cache,Eternal Conflict,eNergy,0,4,16,18,2,16,10,2,16,13,2,18,8,5,18,6,1,19,20,3,12,20,1,9,18,4,14,16,6,12,13,2,8
19181,inferno,Eternal Conflict,eNergy,0,6,16,18,3,18,12,5,19,13,3,20,11,6,19,11,2,21,21,6,11,21,4,13,16,3,10,22,6,18,17,6,13
19182,cobblestone,madjicK,CPH Wolves,1,16,14,28,4,21,20,3,15,17,4,17,17,1,22,12,4,25,27,6,16,25,3,20,25,7,22,13,4,19,10,2,18
19183,nuke,CLG,eLevate,1,16,4,25,5,12,17,4,10,19,4,13,16,1,9,15,4,12,15,3,20,14,2,18,10,2,16,11,1,19,6,4,19
19184,inferno,Mythic,Liquid,0,12,16,23,8,20,22,5,21,19,4,20,14,2,15,13,7,23,23,3,16,22,4,20,21,2,19,17,5,18,16,1,18
19186,mirage,fnatic,Virtus.pro,0,14,16,21,3,20,20,3,19,24,3,23,16,4,19,14,5,21,27,1,18,27,3,18,21,5,19,15,8,21,12,5,19
19187,nuke,TSM,Titan,1,16,3,19,9,9,20,2,11,15,4,8,16,3,10,14,6,5,11,1,16,10,4,15,9,2,17,10,0,19,3,1,17
19188,inferno,EnVyUs,fnatic,0,10,16,21,3,20,17,0,17,18,1,23,17,4,20,10,3,20,27,4,17,21,4,14,17,1,17,18,7,19,17,8,16
19189,cache,LGB,Titan,0,5,16,13,3,17,15,4,18,11,2,17,11,1,18,5,1,21,28,3,7,22,4,11,18,5,12,16,2,12,7,4,13
19190,mirage,Virtus.pro,Natus Vincere,1,16,7,24,6,14,23,5,13,20,8,16,16,5,12,11,6,13,15,2,16,14,3,19,13,4,18,15,4,22,11,3,20
19191,cache,NiP,LGB,1,16,12,27,6,15,24,4,16,18,1,17,14,3,15,12,8,16,23,2,20,20,4,19,13,5,17,12,1,19,11,5,20
19192,cache,CLG,Cloud9,1,16,7,24,5,11,17,2,14,18,7,16,18,3,12,16,1,12,25,1,16,14,3,20,14,1,18,7,3,19,5,6,21
19193,mirage,Liquid,SKDC,1,16,4,23,5,7,24,3,7,15,5,11,15,7,8,16,7,14,15,1,18,16,2,17,8,3,19,6,3,19,2,1,20
