18646,5,26,
25725,2,19,12.0,0.0,17.0,
25868,3,27,15.0,5.0,17.0,
25869,3,23,11.0,3.0,18.0,
27326,1,27,26.0,4.0,19.0,
27324,3,17,16.0,2.0,9.0,
28142,1,28,23.0,3.0,1.44,
28143,3,19,20.0,1.0,2.86,
21288,1,28,27.0,3.0,18.0,
27328,3,22,20.0,3.0,12.0,
28998,5,28,16.0,5.0,0.7,
23882,2,26,22.0,3.0,11.0,
23883,2,30,26.0,6.0,17.0,
23881,3,27,25.0,2.0,18.0,
22430,3,30,19.0,3.0,23.0,
22431,3,22,18.0,4.0,11.0,
22432,1,30,21.0,3.0,20.0,
23139,3,22,12.0,3.0,19.0,
28289,3,24,23.0,3.0,1.64,
20729,4,21,17.0,4.0,12.0,
21134,5,29,12.0,1.0,19.0,
28288,1,19,22.0,4.0,3.14,
23437,1,30,27.0,4.0,16.0,
23436,1,22,18.0,4.0,19.0,
23231,1,28,21.0,2.0,16.0,
23233,1,20,24.0,3.0,7.0,
23232,4,26,15.0,5.0,14.0,
25255,3,24,13.0,4.0,17.0,
23234,3,30,18.0,0.0,16.0,
27849,3,19,10.0,0.0,0.63,
28166,1,28,22.0,2.0,1.47,
21736,1,26,25.0,3.0,15.0,
26674,5,24,12.0,3.0,17.0,
26675,1,28,31.0,5.0,19.0,
26122,5,29,13.0,1.0,18.0,
25178,2,27,25.0,1.0,14.0,
22157,3,23,13.0,1.0,22.0,
27336,1,24,19.0,4.0,17.0,
27337,2,23,19.0,6.0,15.0,
25401,1,28,28.0,3.0,16.0,
24978,5,30,16.0,5.0,24.0,
28283,4,22,10.0,1.0,0.63,
28282,4,28,17.0,8.0,0.89,
25642,5,26,18.0,1.0,16.0,
25643,4,19,14.0,4.0,9.0,
28902,3,23,19.0,0.0,1.58,
25444,1,20,17.0,2.0,16.0,
27825,3,26,19.0,3.0,1.19,
21258,3,26,16.0,4.0,19.0,
23633,3,25,17.0,5.0,13.0,
23632,3,24,15.0,3.0,18.0,
21426,1,30,25.0,2.0,17.0,
27106,1,25,23.0,1.0,9.0,
21424,5,23,4.0,3.0,18.0,
28372,4,29,13.0,2.0,0.87,
23138,5,22,14.0,4.0,9.0,
27101,4,22,10.0,2.0,19.0,
24141,2,22,23.0,2.0,10.0,
25848,4,23,11.0,3.0,18.0,
25849,2,28,20.0,5.0,22.0,
26191,5,23,11.0,2.0,21.0,
27957,3,22,11.0,1.0,17.0,
28379,2,29,23.0,2.0,1.35,
26116,5,29,18.0,2.0,21.0,
27928,5,21,16.0,0.0,8.0,
23034,5,19,13.0,3.0,9.0,
23033,3,17,13.0,4.0,8.0,
27344,1,22,24.0,2.0,10.0,
21653,2,26,17.0,1.0,19.0,
23745,2,21,19.0,2.0,10.0,
22105,2,27,20.0,5.0,14.0,
21873,2,24,15.0,5.0,18.0,
21872,5,21,5.0,4.0,18.0,
22109,1,30,22.0,6.0,14.0,
27105,3,22,21.0,1.0,10.0,
28903,4,22,16.0,2.0,1.45,
27939,1,24,23.0,1.0,14.0,
20781,4,24,18.0,6.0,14.0,
26558,2,28,20.0,5.0,21.0,
20577,4,26,18.0,8.0,16.0,
21493,5,29,13.0,3.0,18.0,
26501,2,25,22.0,5.0,14.0,
23453,2,29,22.0,2.0,19.0,
20578,5,26,9.0,3.0,19.0,
23455,1,30,27.0,2.0,20.0,
23454,2,29,15.0,4.0,16.0,
21495,4,18,15.0,5.0,6.0,
27102,1,27,19.0,1.0,21.0,
28986,4,26,18.0,2.0,1.29,
28152,5,20,5.0,2.0,0.26,
20309,5,23,15.0,2.0,11.0,
21909,2,23,21.0,1.0,9.0,
20304,5,25,12.0,6.0,15.0,
28167,4,19,14.0,1.0,1.75,
27819,1,22,18.0,1.0,1.0,
24207,1,25,25.0,0.0,17.0,
24727,1,17,19.0,6.0,8.0,
27770,4,27,19.0,1.0,1.27,
22257,1,30,32.0,3.0,17.0,
24729,5,19,13.0,3.0,11.0,
