MatchID, Map,TeamAWins, TeamARounds, TeamBRounds, A1_frags, A1_assists, A1_deaths, A2_frags, A2_assists, A2_deaths, A3_frags, A3_assists, A3_deaths, A4_frags, A4_assists, A4_deaths, A5_frags, A5_assists, A5_deaths, B1_frags, B1_assists, B1_deaths, B2_frags, B2_assists, B2_deaths, B3_frags, B3_assists, B3_deaths, B4_frags, B4_assists, B4_deaths, B5_frags, B5_assists, B5_deaths
27171,mirage,0, 6, 16,20 ,4,18,16 ,4,21,15 ,3,16,14 ,1,17,11 ,4,17,21 ,5,15,21 ,3,14,20 ,3,17,15 ,1,14,12 ,4,16
27172,overpass,0, 9, 16,24 ,3,20,21 ,5,21,15 ,3,19,14 ,4,22,5 ,3,22,30 ,10,12,21 ,6,15,17 ,5,15,18 ,8,17,17 ,4,20
27173,cache,0, 7, 16,18 ,2,17,11 ,2,20,13 ,2,20,7 ,1,17,8 ,3,20,27 ,4,9,18 ,3,12,19 ,3,12,17 ,6,12,13 ,3,13
27174,cobblestone,0, 3, 16,9 ,3,16,12 ,1,17,9 ,2,17,8 ,2,17,7 ,2,17,25 ,5,9,23 ,2,10,13 ,5,8,13 ,1,9,10 ,7,9
27175,mirage,0, 6, 16,14 ,4,17,15 ,1,19,13 ,2,17,12 ,2,16,9 ,5,17,20 ,3,13,19 ,4,12,19 ,2,13,13 ,2,10,15 ,4,15
27178,inferno,1, 16, 14,42 ,4,16,19 ,3,19,21 ,5,23,15 ,7,19,17 ,6,20,29 ,3,21,24 ,8,22,18 ,4,24,14 ,6,24,11 ,5,23
27179,mirage,0, 6, 16,15 ,1,16,17 ,1,19,14 ,4,18,11 ,5,16,10 ,2,20,24 ,3,13,20 ,2,14,15 ,2,12,15 ,8,13,15 ,7,15
27180,cache,0, 1, 16,15 ,1,16,9 ,2,16,8 ,2,16,8 ,1,17,4 ,2,16,23 ,1,4,22 ,3,12,18 ,3,9,11 ,1,7,7 ,4,12
27181,mirage,1, 16, 2,23 ,2,8,18 ,3,10,14 ,3,4,16 ,2,10,13 ,5,11,16 ,0,16,10 ,2,16,9 ,0,17,5 ,1,17,3 ,5,18
27182,mirage,1, 16, 2,22 ,4,8,16 ,4,9,16 ,5,9,15 ,7,7,12 ,4,8,13 ,2,16,10 ,2,17,6 ,2,15,6 ,3,16,6 ,3,17
27183,inferno,1, 16, 4,20 ,4,8,21 ,4,11,22 ,5,11,12 ,7,6,15 ,1,10,12 ,4,17,11 ,4,18,9 ,1,18,9 ,3,19,5 ,2,18
27184,cache,1, 16, 12,25 ,7,16,21 ,2,18,20 ,4,18,18 ,2,18,16 ,2,19,26 ,2,19,19 ,2,18,18 ,2,20,14 ,5,22,12 ,7,21
27185,dust2,1, 16, 12,26 ,2,19,25 ,5,20,20 ,2,17,17 ,2,17,17 ,4,18,27 ,3,20,21 ,7,20,16 ,4,22,16 ,3,20,10 ,4,23
27186,mirage,1, 16, 11,26 ,1,14,25 ,5,17,16 ,0,18,18 ,10,21,15 ,6,21,22 ,2,19,21 ,0,22,22 ,4,20,18 ,5,21,8 ,3,19
27187,cobblestone,1, 16, 10,26 ,2,17,20 ,7,19,19 ,2,16,17 ,3,17,14 ,6,20,25 ,7,19,19 ,1,18,19 ,6,18,14 ,4,20,12 ,4,21
27188,cache,1, 16, 11,26 ,1,16,25 ,8,18,24 ,2,15,16 ,7,16,17 ,9,22,23 ,4,20,19 ,3,23,17 ,4,23,18 ,5,22,10 ,3,20
27189,inferno,1, 16, 10,25 ,3,14,23 ,6,13,19 ,2,13,17 ,1,14,16 ,6,18,17 ,1,17,18 ,2,20,15 ,5,22,12 ,2,21,10 ,6,20
27190,train,1, 16, 13,25 ,2,18,25 ,4,22,20 ,9,20,20 ,3,18,12 ,1,23,27 ,6,20,23 ,3,20,20 ,5,20,17 ,4,18,13 ,7,24
